Title,Rating,Genres,Tags,Url
Bird Box (2018) ,6.6,"Horror, Sci-Fi            ","['suicide', 'survival', 'invisible creature', 'dystopia', 'supermarket']",https://www.imdb.com//title/tt2737304/
The Autopsy of Jane Doe (2016) ,6.8,"Horror, Mystery, Thriller            ","['autopsy', 'morgue', 'corpse', 'autopsy room', 'forensic autopsy']",https://www.imdb.com//title/tt3289956/
The Rental (2020) ,5.7,"Horror, Thriller            ","['weekend retreat', 'extramarital affair', 'hidden camera', 'masked figure', 'vacation']",https://www.imdb.com//title/tt10003008/
Annihilation (2018) ,6.8,"Adventure, Drama, Horror            ","['coma', 'expedition', 'lighthouse', 'based on novel', 'scientist']",https://www.imdb.com//title/tt2798920/
The Thing (I) (2011) ,6.2,"Horror, Mystery, Sci-Fi            ","['alien', 'scientist', 'antarctica', 'snow', 'alien creature']",https://www.imdb.com//title/tt0905372/
Frankenweenie (2012) ,6.9,"Animation, Comedy, Family            ","['stop motion animation', 'remake by original director', 'dracula character', 'altered version of studio logo', 'studio logo segues into film']",https://www.imdb.com//title/tt1142977/
Halloween H20: 20 Years Later (1998) ,5.8,"Horror, Thriller            ","['slasher', 'call the police', 'private boarding school', 'faked death', 'headmistress']",https://www.imdb.com//title/tt0120694/
Candyman (1992) ,6.6,"Horror, Thriller            ","['legend', 'mirror', 'hook for a hand', 'urban legend', 'secret passage']",https://www.imdb.com//title/tt0103919/
The Strangers (2008) ,6.2,"Horror, Thriller            ","['fear', 'masked intruder', 'cabin in the woods', 'masked villain', 'smoke alarm']",https://www.imdb.com//title/tt0482606/
Spiral: From the Book of Saw (2021) ,None,"Crime, Horror, Mystery            ","['f word', 'psychotronic film', 'saw', 'horror icon', 'body count']",https://www.imdb.com//title/tt10342730/
Split (IX) (2016) ,7.3,"Horror, Thriller            ","['multiple personality disorder', 'psychological thriller', 'kidnapping', 'teenage girl', 'villain played by lead actor']",https://www.imdb.com//title/tt4972582/
The Innocents (1961) ,7.8,Horror            ,"['bodily possession', 'downward spiral', 'fear', 'children', 'governess']",https://www.imdb.com//title/tt0055018/
Gremlins (1984) ,7.3,"Comedy, Fantasy, Horror            ","['chinatown', 'dumb cop', 'shady businesswoman', 'greedy banker', '1980s']",https://www.imdb.com//title/tt0087363/
Sputnik (2020) ,6.3,"Drama, Horror, Sci-Fi            ","['spaceship', 'female protagonist', 'monster', 'creature', 'scientist']",https://www.imdb.com//title/tt11905962/
From Dusk Till Dawn (1996) ,7.2,"Action, Crime, Horror            ","['sex offender', 'vampire', 'stripper', 'rape victim', 'pervert']",https://www.imdb.com//title/tt0116367/
The Mortal Instruments: City of Bones (2013) ,5.9,"Action, Adventure, Fantasy            ","['magic', 'demon', 'new york city', 'vampire', 'teenager']",https://www.imdb.com//title/tt1538403/
Mandy (I) (2018) ,6.5,"Action, Fantasy, Horror            ","['lumberjack', 'cult', 'revenge', 'surrealism', 'year 1983']",https://www.imdb.com//title/tt6998518/
Shaun of the Dead (2004) ,7.9,"Comedy, Horror            ","['zombie apocalypse', 'pub', 'british horror', 'zombie', 'flesh eating zombies']",https://www.imdb.com//title/tt0365748/
Silent Hill (2006) ,6.5,Horror            ,"['ash fall', 'gothic', 'based on video game', 'first part', 'molestation']",https://www.imdb.com//title/tt0384537/
Vampires (1998) ,6.2,"Action, Horror, Thriller            ","['vampire', 'vampire hunter', 'vampire slayer', 'female frontal nudity', 'topless female nudity']",https://www.imdb.com//title/tt0120877/
Host (II) (2020) ,6.6,"Horror, Mystery            ","['laptop screen', 'evil', 'paranormal entity', 'computer screen', 'fear']",https://www.imdb.com//title/tt12749596/
The Descent (2005) ,7.2,"Adventure, Horror, Thriller            ","['cave', 'fear', 'group of friends', 'survival horror', 'expedition']",https://www.imdb.com//title/tt0435625/
